CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
20147,20,3,2686,2815,9.2,14.9,76.2,68.8,11.6,4.3,15.1,19.6,44,44170
20149,20,3,11209,11416,8.9,8.5,81.5,69,7.8,3.7,21.3,22.8,60,60216
20151,20,3,4873,4866,12.3,17.9,83.4,71.9,9.6,5.6,13.2,17.2,49,49550
20153,20,3,1293,1252,10,17.1,70,62.9,20.6,2.3,15.2,15.7,41,41579
20155,20,3,32262,31796,12.2,15.8,82.4,78.7,5.8,5.7,17.7,15.3,45,45288
20157,20,3,2355,2451,12.8,21,81.4,69.5,,3.8,15.4,16,40,40449
20159,20,3,5053,4961,14.7,18.1,72.8,75.1,7.4,5.5,15.6,17.2,48,48460
20161,20,3,40002,35020,22.5,11.5,72.1,65.1,,5.8,15.7,30.5,44,44437
20163,20,3,2537,2649,14.4,21.9,79.2,66.6,12.1,4.1,15.5,20.9,43,43558
20165,20,3,1593,1591,9.4,4.7,75.8,59,17.5,5.6,21.1,23,38,38854
20167,20,3,3516,3472,,18.9,80.1,75.2,8.4,6.9,15.2,14.7,41,-41102
20169,20,3,27546,28189,16.1,25.8,83,83,6.3,5,14.4,10.5,47,47801
20171,20,3,2399,2529,6.6,5.7,87.5,66.5,17,5.8,15.6,16.5,51,51850
20173,20,3,250929,255600,15.1,21.7,85.4,82.8,4.6,6.9,18.4,12.5,50,50657
20175,20,3,11839,11435,19.1,28.2,68.3,79,5.7,9,-15.4,15.3,47,47134
20177,20,3,86783,92009,15.2,21,83.1,75.3,4.6,6.8,17.7,20,50,50378
20179,20,3,1321,1210,6.6,12.2,80.5,63.1,18.6,1.2,12.2,18.1,49,49750
20181,20,3,2933,3121,19,26.9,78.7,70.1,7.5,4,14.7,22.4,39,39029
20183,20,3,1835,1905,14.8,22.3,76.1,63.9,15.5,3.2,14.8,19.8,43,43848
20185,20,3,2161,2159,16.1,25,70.1,63.1,,2.6,17.8,22.7,47,47377
20187,20,3,993,1156,5.3,4.7,79.3,65.4,13.4,2.4,-11.3,21.1,43,43780
20189,20,3,2920,2852,,28.2,76.3,72.5,13.3,3,16,13.2,55,55433
20191,20,3,11694,11944,12.4,16.3,81.7,75.6,6.1,7,23.3,18.1,50,50141
20193,20,3,3900,4025,9.7,4.7,79.5,69.9,11.4,2.7,10.1,18.5,48,48504
20195,20,3,1435,1516,4.1,2.1,76.1,66.6,12.5,1,15.1,20.7,54,54000
20197,20,3,3559,3438,5.9,5.5,75.2,73.3,6.5,6.2,27.1,20,54,54688
20199,20,3,789,806,8.2,7.6,79.4,57.9,21.5,5.4,14.9,20.1,47,47279
20201,20,3,2885,2801,11.7,17.5,77.9,72.4,10.4,3.1,18.1,16.7,45,45159
20203,20,3,1150,1054,9.9,8.1,68.4,68,15.9,3.1,13.7,15.8,57,57171
20205,20,3,4477,4584,18.6,30.7,78.2,70.1,10.8,6.5,-16.3,18.9,40,40306
20207,20,3,1606,1605,22.8,36.8,77.4,63.7,13.4,4.6,23.3,22.5,35,35787
20209,20,3,79445,81361,23.9,37.3,80.2,82.9,4,11.2,21.4,12.9,40,40113
21001,21,4,9308,9544,21.6,30.7,84.3,74,11.2,7.7,22.7,14.6,33,33362
21003,21,4,10014,10341,17.2,21.8,77.6,76.2,10.4,9.2,25.1,13,41,41326
21005,21,4,10599,11162,10.3,13.7,82.8,66.7,6.8,6.9,25.9,26.5,53,53974
21007,21,4,4098,4158,16.3,25,85.9,79.9,8.4,6.2,23.7,11.7,42,42244
21009,21,4,20895,22030,20.4,28.5,81.7,76.7,8,7.6,20.7,15,38,38370
21011,21,4,5947,6031,,35.2,83.3,68.8,,14,24.2,21.1,33,33483
21013,21,4,13581,14369,38,51.6,75.4,77.5,5.7,11.6,21.7,16.6,31,22443
21015,21,4,61530,63087,8.2,11.2,85.2,85.2,3.5,5.6,24.1,11.3,66,66730
21017,21,4,9878,10135,16.6,24.6,78.1,78.6,7.5,9.9,22.4,13.7,45,45208
21019,21,4,24241,24676,20.4,30.2,82.3,80.3,5,10.5,21.1,14.5,42,42319
21021,21,4,14607,14781,16.1,19.4,78.6,75.8,7.8,7.1,20.1,16.3,39,39704
21023,21,4,4203,4222,18.5,26.6,81.1,77.9,6.9,8.3,37.8,15.3,36,36327
21025,21,4,6829,6762,32.9,42.1,75.5,68.9,6.4,12.4,27.2,24.5,31,25817
21027,21,4,9945,10116,17.4,20.7,76.3,76.7,7.2,11.5,29.1,15.8,43,43479
21029,21,4,38049,38912,10.4,13.6,86.4,84.6,4.4,7.6,27.5,10.9,55,55975
21031,21,4,6450,6385,29.3,46,85.4,73.5,12.4,6.1,27,13.3,33,33536
21033,21,4,6191,6635,20.1,32.5,82.3,69.4,12.4,8.7,22,18.1,42,42537
21035,21,4,18379,19727,23.1,22.6,82,71.9,7,9.1,17.5,20.9,37,37034
21037,21,4,44858,46617,14.6,20.5,82.6,83.9,3.8,6.8,22.1,12.2,54,54621
21039,21,4,2402,2582,,38.2,82.7,73.2,9,6.8,25.5,17.7,38,38829
21041,21,4,5590,5240,27.9,40.8,82.1,82.6,4.2,13.2,18.7,12.9,41,41439
21043,21,4,13502,13824,17.6,24.2,77.8,80.1,4.3,11.1,31.4,15.5,36,36696
21045,21,4,7857,8097,25.5,34.3,82.1,75.1,8.2,9,29.2,16.3,32,32341
21047,21,4,38891,35268,19.9,26.1,76.5,72.7,6.2,12.7,17,20.9,39,39521
21049,21,4,17464,18193,15.4,20.4,82.6,79.9,5.3,7.9,23.3,14.2,47,47959
21051,21,4,11415,9885,39.7,50.4,78.6,69,5.7,15.9,28.5,24.8,31,21549
21053,21,4,5052,5136,24.3,29.4,84.6,72.2,7.5,9.3,19.1,20.3,31,28025
21055,21,4,4625,4597,21.9,29.9,80.3,74.5,8.7,7.1,27.2,16.7,35,35316
21057,21,4,3313,3494,25.1,31.6,83,74.8,7.6,10.2,20.8,17.7,32,32019
21059,21,4,47590,50583,,22.9,87.1,82.9,,6.8,18.7,11.5,45,45989
21061,21,4,6077,6028,19.2,16.5,79.6,72.2,6.8,8.9,30.3,21,41,41710
21063,21,4,4345,3380,31.3,40.8,82.1,66.6,8.3,6.2,34,24.3,31,28224
21065,21,4,7118,7358,29.3,39.3,77.5,76.5,6.2,11.8,33.9,16.9,31,29770
21067,21,4,151459,156847,18.9,23.3,79.1,78.4,4.9,6.9,20.2,16.5,49,49778
21069,21,4,7179,7365,20.1,25.5,81,75.4,,9.7,28.6,15.3,35,35469
21071,21,4,19048,19601,30,43.4,85.1,71.2,6.4,9.7,24.6,22.3,31,30096
21073,21,4,24271,25507,14.6,22.8,83.8,60.2,5.5,8.7,18.2,34.1,47,47964
21075,21,4,3169,3253,27.4,36,82.2,75.2,6.7,12,20.5,17.2,31,28359
21077,21,4,4289,4278,15.3,22.7,83.4,82.4,4.6,6,27.7,12.6,48,48370
21079,21,4,8332,8644,21.7,32.9,81.1,77,7.4,11.4,33.2,15.6,44,44243
21081,21,4,12239,12431,18.4,27.9,81.7,81.7,4,6.8,30,14.3,44,44824
21083,21,4,18263,19239,17.3,23.1,85.3,77,8.6,7.2,23.2,14.3,39,39530
21085,21,4,12950,13051,24,34.4,80.4,75.5,7.6,9.3,27.3,16.6,35,35030
21087,21,4,5455,5694,20.1,22.8,81.4,74.7,9.7,9,28.4,15.4,34,34982
21089,21,4,17709,18768,17.7,24.7,86.8,79.9,5,10.1,24.2,15,45,45370
21091,21,4,4448,4221,15.8,27.1,87.9,85.1,3.6,5.9,25.3,11.1,50,50476
21093,21,4,53651,53878,14.3,22.7,81,72.8,4.5,8.2,22.4,22.7,50,50765
21095,21,4,13877,14523,31.2,42,79.6,74,5.8,9.8,21.7,20.2,31,25814
21097,21,4,9105,9543,22.2,27.4,83.3,80.1,5.6,8.1,26.2,14.3,35,35681
21099,21,4,9109,9332,24.9,31.4,74.2,71.2,13.6,9.6,28.2,14.6,34,34774
21101,21,4,22456,23940,19,28.4,86,80.7,5.1,8,20.7,14.1,41,41036
21103,21,4,7698,7757,18.3,29.3,81.7,75.9,,6.6,30.5,13.6,46,46495
21105,21,4,2245,2475,15,21,81.9,76.1,9,8.8,19.3,15,41,41218
21107,21,4,22603,23915,,26.6,88.2,76.8,6.1,6.7,21.5,17,42,42346
21109,21,4,6650,6707,31.4,43.3,80.2,72.9,5,12.3,28.1,22.1,31,29826
21111,21,4,364719,391090,16.4,24.2,82,84,4.4,8.4,22.1,11.5,48,48695
